Academic Year,TAP Sector Group,Scholarship Name,Scholarship Headcount,Scholarship FTE,Scholarship Dollars
2017,1-CUNY SR,NYS World Trade Center Memorial Scholarship,55,46.25,744743.85
2017,3-SUNY SO,NYS World Trade Center Memorial Scholarship,319,294.00,6129007.55
2017,6-BUS. DEGREE,NYS World Trade Center Memorial Scholarship,13,10.50,198801.50
2017,5-INDEPENDENT,Senator Patricia K. McGee Nursing Faculty Scholarship,70,34.63,926645.01
2017,1-CUNY SR,Senator Patricia K. McGee Nursing Faculty Scholarship,10,4.13,119158.20
2017,3-SUNY SO,Senator Patricia K. McGee Nursing Faculty Scholarship,27,15.88,465339.86
2017,5-INDEPENDENT,Veterans Tuition Awards,163,116.92,711188.23
2017,1-CUNY SR,Veterans Tuition Awards,95,55.42,248340.36
2017,2-CUNY CC,Veterans Tuition Awards,13,6.79,27465.00
2017,4-SUNY CC,Veterans Tuition Awards,213,149.12,533910.42
2017,3-SUNY SO,Veterans Tuition Awards,227,154.46,789350.42
2017,VOCATIONAL - VET SCHOOLS ONLY,Veterans Tuition Awards,31,15.25,87657.30
2017,6-BUS. DEGREE,Veterans Tuition Awards,43,30.25,170421.86
2016,5-INDEPENDENT,Flight 3407 Memorial Scholarship,3,2.50,49132.50
2016,3-SUNY SO,Flight 3407 Memorial Scholarship,1,0.50,10861.50
2016,5-INDEPENDENT,Flight 587 Memorial Scholarship,7,6.00,103482.50
2016,1-CUNY SR,Flight 587 Memorial Scholarship,5,3.00,41931.55
2016,4-SUNY CC,Flight 587 Memorial Scholarship,1,0.50,8482.00
2016,3-SUNY SO,Flight 587 Memorial Scholarship,4,4.00,77716.00
2016,2-CUNY CC,Flight 587 Memorial Scholarship,2,1.50,16906.60
2016,1-CUNY SR,Military Service Recognition Scholarship,10,7.00,98530.10
2016,6-BUS. DEGREE,Military Service Recognition Scholarship,5,3.83,55154.07
2016,5-INDEPENDENT,Military Service Recognition Scholarship,30,33.00,512139.79
2016,4-SUNY CC,Military Service Recognition Scholarship,16,10.50,127955.75
2016,3-SUNY SO,Military Service Recognition Scholarship,37,32.00,625698.74
2016,2-CUNY CC,Military Service Recognition Scholarship,4,2.50,26191.60
2016,1-CUNY SR,NYS Achievement and Investment In Merit Scholarship,117,110.50,55250.00
2016,5-INDEPENDENT,NYS Achievement and Investment In Merit Scholarship,1248,1223.00,611500.05
2016,4-SUNY CC,NYS Achievement and Investment In Merit Scholarship,69,62.00,31000.00
2016,3-SUNY SO,NYS Achievement and Investment In Merit Scholarship,767,738.50,369250.00
2016,2-CUNY CC,NYS Achievement and Investment In Merit Scholarship,1,1.00,500.00
2016,1-CUNY SR,NYS Masters-In-Education Teacher Incentive Scholarship,5,5.00,46895.00
2016,3-SUNY SO,NYS Masters-In-Education Teacher Incentive Scholarship,58,54.00,539538.15
2016,1-CUNY SR,NYS Math and Science Teacher Incentive Scholarship,7,6.50,38619.30
2016,5-INDEPENDENT,NYS Math and Science Teacher Incentive Scholarship,30,28.00,175690.01
2016,4-SUNY CC,NYS Math and Science Teacher Incentive Scholarship,1,0.50,2970.00
2016,3-SUNY SO,NYS Math and Science Teacher Incentive Scholarship,43,40.00,230206.50
2016,6-BUS. DEGREE,"NYS Memorial Scholarships for Families of Deceased Firefighters, Volunteer Firefighters, Police Officers, Peace Officers and Emergency Medical Service Workers",1,0.67,10083.33
2016,5-INDEPENDENT,"NYS Memorial Scholarships for Families of Deceased Firefighters, Volunteer Firefighters, Police Officers, Peace Officers and Emergency Medical Service Workers",21,18.58,368294.58
2016,4-SUNY CC,"NYS Memorial Scholarships for Families of Deceased Firefighters, Volunteer Firefighters, Police Officers, Peace Officers and Emergency Medical Service Workers",11,8.25,99888.75
2016,3-SUNY SO,"NYS Memorial Scholarships for Families of Deceased Firefighters, Volunteer Firefighters, Police Officers, Peace Officers and Emergency Medical Service Workers",15,12.50,237168.44
2016,8-OTHER,NYS Regents Awards for Children of Deceased and Disabled Veterans,2,1.50,675.00
2016,6-BUS. DEGREE,NYS Regents Awards for Children of Deceased and Disabled Veterans,9,7.00,3150.00
2016,5-INDEPENDENT,NYS Regents Awards for Children of Deceased and Disabled Veterans,119,108.50,48825.00
2016,4-SUNY CC,NYS Regents Awards for Children of Deceased and Disabled Veterans,108,80.00,36000.00
2016,3-SUNY SO,NYS Regents Awards for Children of Deceased and Disabled Veterans,177,153.75,69187.50
2016,2-CUNY CC,NYS Regents Awards for Children of Deceased and Disabled Veterans,6,4.00,1800.00
2016,1-CUNY SR,NYS Regents Awards for Children of Deceased and Disabled Veterans,20,14.75,6637.50
